Planilha de Casos de Teste – BugBank,,,,,,,
,,,,,,,
,,,,,,,
Cenário 1 – Registro de Usuário                                                        ,,,,,,,
ID,Título,Descrição,Pré-condições,Dados de Teste,Passos,Resultado Esperado,Critérios de Aceitação
CT-RG-001,Registrar novo usuário válido sem saldo,Registrar novo usuário sem saldo,Sistema disponível; usuário não cadastrado,"Nome: Teste 1
Email: teste1@email.com
Senha: Teste@123
Confirmação senha: Teste@123
","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Preencher campos Nome, Email, Senha, Confirmação senha com dados de teste informados
4. Não marcar saldo
5. Clicar em Cadastrar","Conta criada com sucesso, número da conta exibido, saldo = R$ 0,00, redirecionado para login","Campos Nome, Email, Senha e Confirmação de senha obrigatórios
Opção de saldo inativo → saldo inicial = R$ 0,00
Usuário consegue logar após cadastro
Mensagem de sucesso clara com número da conta"
CT-RG-002,Registrar novo usuário válido com saldo,Registrar novo usuário com saldo inicial,Sistema disponível; usuário não cadastrado,"Nome: Teste 2
Email: teste2@email.com
Senha: Teste@123
Confirmação senha: Teste@123","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Preencher campos Nome, Email, Senha, Confirmação senha com dados de teste informados
4. Marcar saldo
5. Clicar em Cadastrar","Conta criada com sucesso, número da conta exibido, saldo = R$ 1.000,00, redirecionado para login","Campos obrigatórios preenchidos
Opção de saldo ativo → saldo inicial = R$ 1.000,00
Mensagem de sucesso com número da conta"
CT-RG-003,Registrar com email existente,Validar duplicidade de email,Sistema disponível; email já cadastrado,"Nome: Teste 3
Email: teste2@email.com
Senha: Teste@123
Confirmação senha: Teste@123","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Preencher campos Nome, Email, Senha, Confirmação senha com dados de teste informados
4. Marcar saldo
5. Clicar em Cadastrar","Sistema exibe mensagem: ""Email já cadastrado""
Cadastro não é realizado
Usuário permanece na tela de cadastro","O sistema deve validar exclusividade do email
Não deve permitir cadastro duplicado
Nenhum novo usuário deve ser criado"
CT-RG-004,Registrar  com campo obrigatório nome vazio,Validar campo nome vazio,Sistema disponível,"Nome: 
Email: teste2@email.com
Senha: Teste@123
Confirmação senha: Teste@123","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Deixar campo Nome vazio
4. Preencher campos Email, Senha, Confirmação senha com dados informados
5. Marcar saldo
6. Clicar em Cadastrar
","Sistema exibe mensagem: ""Nome não pode ser vazio""
Cadastro não é realizado","Campo Nome deve ser obrigatório
Sistema deve validar campo vazio antes de enviar
Nenhum usuário deve ser criado"
CT-RG-005,Registrar  com campo obrigatório email vazio,Validar campo email vazio,Sistema disponível,"Nome: Teste 3
Email:
Senha: Teste@123
Confirmação senha: Teste@123","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Deixar campo Email vazio
4. Preencher campos Nome, Senha, Confirmação senha  com dados de teste informados
5. Marcar saldo
6. Clicar em Cadastrar","Sistema exibe mensagem: ""Email não pode ser vazio""
Cadastro não é realizado","Campo Email deve ser obrigatório
Sistema deve validar campo vazio
Nenhum usuário deve ser criado"
CT-RG-006,Registrar  com campo obrigatório email inválido - sem @,Validar campo email sem @,Sistema disponível,"Nome: Teste 3
Email: teste.com
Senha: Teste@123
Confirmação senha: Teste@123","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Preencher campo Email sem @
4. Preencher campos Nome, Senha, Confirmação senha  com dados de teste informados
5. Marcar saldo
6. Clicar em Cadastrar","Sistema exibe mensagem: ""Inclua um @ no endereço de email. Falta um @ em ""teste.com"" 
Cadastro não é realizado","Campo Email deve ser obrigatório e válido
Sistema deve validar campo
Nenhum usuário deve ser criado"
CT-RG-007,Registrar com campo obrigatório Senha vazio,Validar campo Senha vazio,Sistema disponível,"Nome: Teste 3
Email: teste2@email.com
Senha: 
Confirmação senha: Teste@123","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Deixar campo Senha vazio
4. Preencher campos Nome, Email, Confirmação senha  com dados de teste informados
5. Marcar saldo
6. Clicar em Cadastrar","Sistema exibe mensagem: ""Senha não pode ser vazio""
Cadastro não é realizado","Campo Senha deve ser obrigatório
Sistema deve validar campo vazio
Nenhum usuário deve ser criado"
CT-RG-008,Registrar com campo obrigatório Confirmação de senha vazio,Validar campo Confirmação de senha vazio,Sistema disponível,"Nome: Teste 3
Email: teste2@email.com
Senha: Teste@123
Confirmação senha:","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Deixar campo Senha vazio
4. Preencher campos Nome, Email, Confirmação senha  com dados de teste informados
5. Marcar saldo
6. Clicar em Cadastrar","Sistema exibe mensagem: ""Confirmar senha não pode ser vazio""
Cadastro não é realizado","Campo Confirmação de senha deve ser obrigatório
Sistema deve validar campo vazio
Nenhum usuário deve ser criado"
CT-RG-009,Registrar com senhas diferentes,Validar confirmação de senha incorreta,Sistema disponível,"Nome: Teste 3
Email: teste2@email.com
Senha: Teste@123
Confirmação senha: Teste@12","1. Acessar página inicial (https://bugbank.netlify.app/#)
2. Clicar em Registrar
3. Preencher campos Nome, Email, Confirmação senha  com dados de teste informados
4. Marcar saldo
5. Clicar em Cadastrar
","Sistema exibe mensagem: ""Senha e confirmação devem ser iguais""
Cadastro não é realizado","Senha e confirmação devem ser iguais
Sistema deve validar consistência entre campos
Nenhum usuário deve ser criado"
,,,,,,,
